"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up"
"29","PAID_SOCIAL_NFB_spend",2,6,66.2519072963712,4.91668220720962,"[35.47, 97.39]",35.4686316233831,97.3855300828418
"30","PAID_SOCIAL_NFB_spend",3,9,160.399015252752,14.0860969505373,"[63.45, 258.34]",63.4487769098996,258.344363810855
"31","PAID_SOCIAL_NFB_spend",4,31,77.0537063750026,2.5792383769043,"[47.69, 106.34]",47.6866474456729,106.343128473182
"32","PAID_SOCIAL_NFB_spend",5,10,87.6269412173062,3.04955994915177,"[65.89, 109.52]",65.8902521765223,109.520727572468
"33","PAID_SOCIAL_NFB_spend",6,7,95.7935339111973,5.03816777570541,"[63.05, 128.28]",63.0456589606501,128.279051614088
"34","PAID_SOCIAL_NFB_spend",7,9,86.4503029563926,4.29870617787464,"[56.74, 116.22]",56.7380669620256,116.215072295265
"35","PAID_SOCIAL_NFB_spend",8,12,97.2356561284426,4.01969718244619,"[66.69, 127.99]",66.6939878490336,127.989837656426
"36","PAID_SOCIAL_NFB_spend",9,11,68.7551628099893,5.64259260598103,"[27.2, 110.6]",27.2049249939827,110.601321430895
"37","TOP_FUNNEL_spend",1,14,160.702256587403,3.55304992787767,"[131.79, 189.23]",131.789362020952,189.230520672377
"38","TOP_FUNNEL_spend",2,6,91.1002827608115,4.56180321196388,"[62.36, 119.8]",62.3560354390898,119.803861913012
"39","TOP_FUNNEL_spend",3,9,116.600062276536,5.68181006900348,"[76.9, 155.51]",76.9007763337037,155.514441421104
"40","TOP_FUNNEL_spend",4,31,109.978568758993,2.73989177038366,"[78.74, 141.05]",78.7381713706783,141.048197107745
"41","TOP_FUNNEL_spend",5,10,191.500468456553,2.69303664837078,"[172.11, 210.64]",172.114964941129,210.644612230012
"42","TOP_FUNNEL_spend",6,7,185.025553946711,4.29674168279198,"[157.11, 212.74]",157.106635832394,212.740161709709
"43","TOP_FUNNEL_spend",7,9,157.30225485187,4.57549361286922,"[125.75, 189.06]",125.75019148367,189.05683463493
"44","TOP_FUNNEL_spend",8,12,169.639392290284,4.12779080296997,"[138.27, 201.21]",138.269402878936,201.21355852332
"45","TOP_FUNNEL_spend",9,11,143.376825025171,3.62713159518853,"[116.71, 170.32]",116.709317552617,170.317601113716
