"","week_date","TOP_FUNNEL_spend","LOWER_FUNNEL_spend","DIRECT_MAIL_spend","NATIVE_spend","GDN_spend","TV_LINEAR_spend","PAID_SOCIAL_FB_spend","TikTok_spend","PAID_SOCIAL_NFB_spend","total_conv"
"100",2021-11-22,4471931.021,1281313,207440,671631,307275,216621,354009,97678,120871,78468
"101",2021-11-29,5421250.282,1440270,953825,658417,307391,167434,309975,61148,140820,113314
"102",2021-12-06,3898249.86,1138111,600165,330199,186101,167434,213313,48261,74153,80842
"103",2021-12-13,3799072.569,904196,328461,295545,239468,167434,197146,49259,174707,68977
"104",2021-12-20,3623765.168,1008479,263555,403070,244641,167434,242587,68217,171391,65902
"105",2021-12-27,4794792.932,2196038,99211,929146,381424,167434,319381,123482,221293,140522
"106",2022-01-03,9623312.012,4009379,2270225,878939,302637,650619,693013,196203,424927,190071
"107",2022-01-10,9442761.446,3162362,1264977.96,1301095,295418,650619,462868,168500,294516,150971
"108",2022-01-17,7883199.531,3354226,868926.9105,1310176,224463,650619,246755,107017,186758,150244
"109",2022-01-24,7177183.191,2872016,656223.8902,1100754,120655,650619,198833,89907,109018,141142
"110",2022-01-31,6182748.29,2946102,184030.29,1300455,137864,465827,173942,99802,144905,135154
"111",2022-02-07,6505159.309,2933750.279,272093.4102,1207948,152607,463826.7969,232829,104775,137997.5601,125915
"112",2022-02-14,6431065.072,2589182.248,843112.0029,947114,162851,462826.7969,142342.9375,60716,74021.73999,131376
"113",2022-02-21,6084973.961,2432410.96,998642.3262,645314,202801,462826.7969,95694.54688,60451.76172,62014.64172,133448
"114",2022-02-28,4390565.181,2245631.656,1093094.52,407950,104394,138576.4375,98670.04199,51238.51953,106722.1095,124984
"115",2022-03-07,4577181.427,2612600.964,658458.3372,533739,98139,138576.4375,101348.4375,30937.57031,32592.79309,124378
"116",2022-03-14,6483071.904,2701492.119,2379797.939,549853,94018,138576.4375,103548.3477,31473.43945,34275.70107,127583
"117",2022-03-21,5705949.082,2191566.633,2320195.577,342639,77589,138576.4375,103482.2275,32365.07031,34055.14508,131220
"118",2022-03-28,4100236.12,2449272.563,1260950.589,382333,70433.30859,138576.4375,109912.3579,35970.64063,37765.62062,121192
"119",2022-04-04,6306350.355,2703936.946,1746621.96,359431,150505,251695.5376,159473.4541,48990.69922,83706.32918,122551
"120",2022-04-11,6332287.936,2387911.595,1961168.812,347578,50690,251695.5175,132016.8613,40531.67188,42687.77126,105304
"121",2022-04-18,6349372.32,3064366.617,1438455.134,664837,150796,251695.5376,121657.4336,97854.96094,99841.87404,111733
"122",2022-04-25,6161549.794,2995906.403,1020064.503,582247,172207,251695.5175,134157.2886,80423.60059,82362.23848,116673
"123",2022-05-02,5647152.491,2610471.857,1210084.529,443023,86082,314327.9775,106777.5479,68596.3125,75210.47275,106625
"124",2022-05-09,5839347.497,2625333.9,1646292.521,410497,70413,314327.9775,112109.1426,44411.26172,48653.06006,113352
"125",2022-05-16,5339430.869,2801543.325,876172.1377,422078,67652,314327.9775,141723.3672,43886.92188,50843.08438,109989
"126",2022-05-23,5073344.268,2308365.277,561571.0115,367245,22174,314327.9775,129880.1602,40270.28125,46625.70696,93424
"127",2022-05-30,3792053.483,2256587.271,221594.1855,326679,2000,364861.6599,41188.67969,37145.13086,176070.1101,90740
"128",2022-06-06,6207784.601,2301652.011,2480968.453,258610,0,365965.9099,5000,38275.21094,217924.7074,98680
"129",2022-06-13,4602308.664,2169733.839,1286024.051,272599,0,371585.6372,5000,39380.67188,166353.8004,83898
"130",2022-06-20,4320394.352,2053356.692,615267.5684,480668,0,371235.3569,5000,34520.53906,189246.2628,81681
"131",2022-06-27,3704134.384,1822308.531,447711.6738,363861,2000,282518.6372,0,50000,266139.8386,78633
"132",2022-07-04,3328977.679,1903765.707,189746.7319,234809,0,226132.228,0,0,130708.7352,81846
"133",2022-07-11,4109779.37,1984604.069,1010933.796,229675,0,226132.228,0,0,83782.76438,79765
"134",2022-07-18,4565301.49,1961698.325,713041.6084,409856,0,226132.228,7108.419296,0,154647.4988,74806
"135",2022-07-25,4602028.736,2121801.753,566242.6265,452831,0,226132.228,14222.17385,0,149969.1451,79686
"136",2022-08-01,4940206.908,2245906.06,1150672.651,339394,2000,161407.5444,174011.4515,39556.19141,43337.8947,86324
"137",2022-08-08,5453707.372,2248170.042,1895169.979,379032,0,192875.5444,206746.6538,37883.80078,41316.24422,87766
"138",2022-08-15,5392039.335,2317472.549,1197541.579,493425,0,185415.0898,349885.6059,52136.67188,84737.31138,86422
"139",2022-08-22,5610553.224,2246677.39,822952.7366,549397,0,327077.0898,480867.7558,52136.67188,91531.39419,92273
"140",2022-08-29,5740193.624,2099343.926,1401275.015,537865,2000,340801.9502,384885.8373,84930.87585,125324.7747,88300
"141",2022-09-05,6734068.071,2317973.307,1292210.698,695120,0,347187.9502,359205.5684,235583.3206,276583.2744,99175
"142",2022-09-12,7483763.96,2618812.442,2272105.83,742080,0,388732.9502,410688.0526,130025.1484,170045.8333,95861
"143",2022-09-19,6056825.612,2228834.19,1446007.426,828124,0,333355.9502,332252.7265,56849.9563,94382.35391,87987
"144",2022-09-26,6005419.322,2160429.625,1096081.219,474421,0,319492.9502,313996.7736,53654.56696,91604.03284,81398
"145",2022-10-03,6360819.758,2289837.81,2413679.36,227341,0,336247.8528,164813.4386,16925.41823,38517.53041,84289
"146",2022-10-10,5137989.119,1872636.375,1599132.282,203368,0,270782.8684,121634.722,16284.58008,19936.13205,70228
"147",2022-10-17,5030155.538,2192953.668,1745894.661,250709,0,45240.57153,138738.5978,10385.54004,14294.88727,70890
"148",2022-10-24,4262646.432,2257096.246,1003892.315,275338,0,45240.57153,162996.6622,9369.860352,13681.1806,73005
"149",2022-10-31,3408787.312,2211610.457,883784.0968,115608,0,38267,169971.0564,18988.44043,24656.90263,77781
"150",2022-11-07,3123169.365,2275918.106,291443.46,172547,0,37528,137898.1801,21389.54034,24752.45038,62311
"151",2022-11-14,2836992.311,1973954.465,247539.1299,101639,0,39007,141092.8699,19861.78003,43153.6701,54091
"152",2022-11-21,3632153.655,1921809.278,1321565.31,100797,0,36073,135766.9891,10541.32004,33250.03006,64817
"153",2022-11-28,5116439.136,2548653.98,1663133.672,135758,0,117458,525710.993,19380.99083,50538.17058,98990
"154",2022-12-05,4636952.42,2038767.121,1476440.46,118406,0,120954,396811.6266,17274.95024,25605.58025,63625
"155",2022-12-12,3191966.829,1485026.121,580765.1299,94426,0,118241,208094.0498,17117.3701,22391.48009,59233
"156",2022-12-19,3194848.427,1674070.121,587259.5601,137535,0,107213,378967.7584,22229.32004,30213.73007,45540
"157",2022-12-26,6094018.366,3977125.121,885532.9399,337810,0,270767,1352832.195,21082.64008,98118.01971,101925
